ID,Branch,City,Customer type,Productline,Unit_Price,Sales price,Quantity,TAX 5%,Total,Date,Time,Payment,cogs,Profit,Net of Tax profit,Gross Profit %,gross margin percentage,perc,Country,Hours,Age,Rating
750-67-8428,A,Yangon,Member,Health and beauty,46.3078,74.69,7,26.1415,548.9715,M,13:08,Ewallet,324.1546,198.6754,172.5339,61%,1.69,48.00%,United Kingdom,morning,43,9
226-31-3081,C,Naypyitaw,Normal,Electronic accessories,12.5296,15.28,5,3.82,80.22,A,10:29,Cash,62.648,13.752,9.932,22%,1.28,-4.00%,United Kingdom,evening,21,10
631-41-3108,A,Yangon,Normal,Home and lifestyle,35.2108,46.33,7,16.2155,340.5255,M,13:23,Credit card,246.4756,77.8344,61.6189,32%,1.38,44.00%,United Kingdom,evening,27,7
123-19-1176,A,Yangon,Member,Health and beauty,45.9938,58.22,8,23.288,489.048,D,20:33,Ewallet,367.9504,97.8096,74.5216,27%,1.33,42.00%,United Kingdom,evening,39,8
373-73-7910,A,Yangon,Normal,Sports and travel,22.4406,86.31,7,30.2085,634.3785,A,10:37,Ewallet,157.0842,447.0858,416.8773,285%,4.04,48.00%,United Kingdom,evening,39,5
699-14-3026,C,Naypyitaw,Normal,Electronic accessories,58.0652,85.39,7,29.8865,627.6165,D,18:30,Ewallet,406.4564,191.2736,161.3871,47%,1.54,34.00%,United Kingdom,noun,81,4
355-53-5943,A,Yangon,Member,Electronic accessories,47.4996,68.84,6,20.652,433.692,D,14:36,Ewallet,284.9976,128.0424,107.3904,45%,1.52,12.00%,United Kingdom,noun,51,6
315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,69.1464,73.56,10,36.78,772.38,D,11:38,Ewallet,691.464,44.136,7.356,6%,1.12,14.00%,United Kingdom,noun,23,8
665-32-9167,A,Yangon,Member,Health and beauty,27.9202,36.26,2,3.626,76.146,O,17:15,Credit card,55.8404,16.6796,13.0536,30%,1.36,37.00%,United Kingdom,noun,49,7
692-92-5582,B,Mandalay,Member,Food and beverages,57.0336,54.84,3,8.226,172.746,D,13:27,Credit card,171.1008,-6.5808,-14.8068,-4%,1.01,12.00%,United Kingdom,morning,31,6
351-62-0822,B,Mandalay,Member,Fashion accessories,8.2536,14.48,4,2.896,60.816,J,18:07,Ewallet,33.0144,24.9056,22.0096,75%,1.84,40.00%,United Kingdom,morning,71,5
529-56-3974,B,Mandalay,Member,Electronic accessories,18.6223,25.51,4,5.102,107.142,S,17:03,Cash,74.4892,27.5508,22.4488,37%,1.44,44.00%,United Kingdom,noun,28,7
365-64-0515,A,Yangon,Normal,Electronic accessories,30.5175,46.95,5,11.7375,246.4875,D,10:25,Ewallet,152.5875,82.1625,70.425,54%,1.62,-2.00%,United Kingdom,noun,51,7
252-56-2699,A,Yangon,Normal,Food and beverages,36.7115,43.19,10,21.595,453.495,J,16:48,Ewallet,367.115,64.785,43.19,18%,1.24,4.00%,United Kingdom,evening,24,8
829-34-3910,A,Yangon,Normal,Health and beauty,34.2624,71.38,10,35.69,749.49,D,19:21,Cash,342.624,371.176,335.486,108%,2.19,50.00%,United Kingdom,evening,30,6
299-46-1805,B,Mandalay,Member,Food and beverages,85.2852,93.72,6,28.116,590.436,D,16:19,Cash,511.7112,50.6088,22.4928,10%,1.15,-2.00%,United Kingdom,evening,58,5
656-95-9349,A,Yangon,Member,Health and beauty,55.144,68.93,7,24.1255,506.6355,N,11:03,Credit card,386.008,96.502,72.3765,25%,1.31,22.00%,United Kingdom,morning,83,5
